Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Berry van Aerle,nl NED,"DF,MF",nl PSV,29,1962,6,6,443,4.9,0,,,0,0,,2,0,0.00,,,0.00,,Matches
2,Giorgos Agorogiannis,gr GRE,DF,gr AEK Athens,26,1966,3,1,91,1.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
3,Ernst Aigner,at AUT,DF,at Austria Wien,25,1966,3,3,270,3.0,0,,,0,0,,3,0,0.00,,,0.00,,Matches
4,Kadir Akbulut,tr TUR,"DF,MF",tr Beşiktaş,32,1960,2,2,135,1.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
5,Flórián Albert Jr.,hu HUN,MF,hu Ferencváros,24,1967,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
6,Demetrio Albertini,it ITA,"FW,MF",it Milan,20,1971,7,7,581,6.5,1,,,1,0,,1,1,0.15,,,0.15,,Matches
7,Alexis Alexandris,gr GRE,FW,gr AEK Athens,23,1968,4,4,345,3.8,1,,,1,0,,0,0,0.26,,,0.26,,Matches
8,Sefer Alibaev,ua UKR,DF,ua Tavriya Simferopol,24,1968,1,1,20,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches
9,Daniel Amokachi,ng NGA,FW,be Club Brugge,19,1972,6,6,493,5.5,1,,,1,0,,1,0,0.18,,,0.18,,Matches
10,Guillermo Amor,es ESP,MF,es Barcelona,24,1967,4,3,314,3.5,1,,,1,0,,0,0,0.29,,,0.29,,Matches
11,Manuel Amoros,fr FRA,DF,fr Marseille,30,1962,3,3,245,2.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
12,Thomas Andersson,se SWE,DF,se Göteborg,21,1970,8,6,578,6.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
13,Ion Andoni Goikoetxea,es ESP,"DF,FW",es Barcelona,26,1965,4,3,280,3.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
14,Ivaylo Andonov,bg BUL,FW,bg CSKA Sofia,24,1967,2,2,180,2.0,1,,,1,0,,1,0,0.50,,,0.50,,Matches
15,António André,pt POR,MF,pt Porto,34,1957,6,5,401,4.5,0,,,0,0,,1,0,0.00,,,0.00,,Matches
16,Miguel Ángel Nadal,es ESP,"DF,MF",es Barcelona,26,1966,4,4,337,3.7,1,,,1,0,,0,0,0.27,,,0.27,,Matches
17,Jocelyn Angloma,fr FRA,"DF,MF",fr Marseille,26,1965,9,9,738,8.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches
18,Juha Annunen,fi FIN,MF,fi Lahti,32,1960,2,2,167,1.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches
19,Francesco Antonioli,it ITA,GK,it Milan,22,1969,4,4,360,4.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
