Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Adaílton,br BRA,FW,it Parma,20,1977,1,0,18,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2,Fatih Akyel,tr TUR,DF,tr Galatasaray,19,1977,6,6,540,6.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
3,Philippe Albert,be BEL,DF,eng Newcastle United,29,1967,6,5,417,4.6,0,,,0,0,,1,0,0.00,,,0.00,,Matches
4,Niclas Alexandersson,se SWE,MF,se Göteborg,25,1971,5,5,450,5.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
5,Alexis Alexandris,gr GRE,FW,gr Olympiacos,28,1968,5,3,223,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
6,Jimmy Algerino,fr FRA,DF,fr Paris Saint-Germain,25,1971,5,1,194,2.2,0,,,0,0,,0,1,0.00,,,0.00,,Matches
7,Georgios Amanatidis,gr GRE,DF,gr Olympiacos,27,1970,2,2,157,1.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches
8,José Amavisca,es ESP,"FW,MF",es Real Madrid,26,1971,7,3,295,3.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
9,Daniel Amokachi,ng NGA,FW,tr Beşiktaş,24,1972,5,4,355,3.9,0,,,0,0,,1,0,0.00,,,0.00,,Matches
10,Guillermo Amor,es ESP,MF,es Barcelona,29,1967,3,0,65,0.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
11,Nicola Amoruso,it ITA,FW,it Juventus,22,1974,4,1,200,2.2,2,,,2,0,,0,0,0.90,,,0.90,,Matches
12,Emmanuel Amunike,ng NGA,"FW,MF",es Barcelona,26,1970,1,1,46,0.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
13,Georgios Anatolakis,gr GRE,DF,gr Olympiacos,23,1974,6,6,523,5.8,0,,,0,0,,1,0,0.00,,,0.00,,Matches
14,Sonny Anderson,br BRA,FW,es Barcelona,26,1970,4,4,218,2.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
15,Robert Andersson,se SWE,FW,se Göteborg,25,1971,6,6,462,5.1,1,,,1,0,,0,0,0.19,,,0.19,,Matches
16,Tore André Dahlum,no NOR,FW,no Rosenborg,29,1968,2,1,76,0.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
17,Miguel Ángel Nadal,es ESP,"DF,MF",es Barcelona,31,1966,4,2,178,2.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
18,Juan Antonio Pizzi,es ESP,FW,es Barcelona,29,1968,3,0,61,0.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
19,Luigi Apolloni,it ITA,DF,it Parma,30,1967,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
20,Faustino Asprilla,co COL,FW,eng Newcastle United,27,1969,3,3,175,1.9,3,,,2,1,,1,0,1.54,,,01.03,,Matches
21,César Augusto Ramírez,py PAR,FW,pt Sporting CP,20,1977,3,1,110,1.2,1,,,1,0,,0,0,0.82,,,0.82,,Matches
22,Marco Aurélio,br BRA,DF,pt Sporting CP,30,1967,6,6,540,6.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
23,Erkan Avseren,tr TUR,DF,tr Beşiktaş,26,1971,5,5,450,5.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
24,Gaspar Azevedo,pt POR,DF,pt Porto,22,1975,1,0,56,0.6,0,,,0,0,,0,0,0.00,,,0.00,,Matches
25,Markus Babbel,de GER,DF,de Bayern Munich,24,1972,8,7,663,7.4,1,,,1,0,,1,0,0.14,,,0.14,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Dino Baggio,it ITA,MF,it Parma,26,1971,6,6,540,6.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
27,Vítor Baía,pt POR,GK,es Barcelona,27,1969,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
28,Božidar Bandović,rs SRB,DF,gr Olympiacos,27,1969,3,3,270,3.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
29,Miroslav Baranek,cz CZE,MF,cz Sparta Prague,23,1973,5,4,358,4.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
30,Pedro Barbosa,pt POR,MF,pt Sporting CP,26,1970,3,3,220,2.4,0,,,0,0,,1,1,0.00,,,0.00,,Matches
31,Sergi Barjuán,es ESP,DF,es Barcelona,25,1971,4,4,317,3.5,0,,,0,0,,3,2,0.00,,,0.00,,Matches
32,John Barnes,eng ENG,"DF,FW",eng Newcastle United,33,1963,5,5,441,4.9,1,,,1,0,,0,0,0.20,,,0.20,,Matches
33,Rui Barros,pt POR,MF,pt Porto,31,1965,6,5,394,4.4,0,,,0,0,,1,0,0.00,,,0.00,,Matches
34,José Barroso,pt POR,MF,pt Porto,26,1970,5,3,353,3.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches
35,Fabien Barthez,fr FRA,GK,fr Monaco,26,1971,10,10,900,10.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
36,Warren Barton,eng ENG,DF,eng Newcastle United,28,1969,4,4,349,3.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches
37,Mario Basler,de GER,"FW,MF",de Bayern Munich,28,1968,5,3,284,3.2,1,,,1,0,,1,0,0.32,,,0.32,,Matches
38,David Batty,eng ENG,MF,eng Newcastle United,28,1968,5,5,450,5.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
39,David Beckham,eng ENG,MF,eng Manchester Utd,22,1975,8,8,704,7.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
40,Stefan Beinlich,de GER,MF,de Leverkusen,25,1972,6,6,519,5.8,4,,,3,1,,3,2,0.69,,,0.52,,Matches
41,Emre Belözoğlu,tr TUR,MF,tr Galatasaray,16,1980,2,1,38,0.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
42,Ali Benarbia,dz ALG,MF,fr Monaco,28,1968,10,9,712,7.9,0,,,0,0,,1,0,0.00,,,0.00,,Matches
43,Antonio Benarrivo,it ITA,DF,it Parma,28,1968,3,3,270,3.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
44,John Beresford,eng ENG,DF,eng Newcastle United,30,1966,5,5,426,4.7,2,,,2,0,,0,0,0.42,,,0.42,,Matches
45,Henning Berg,no NOR,DF,eng Manchester Utd,27,1969,7,5,522,5.8,1,,,1,0,,1,0,0.17,,,0.17,,Matches
