Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Jacques Abardonado,fr FRA,DF,fr Marseille,21,1978,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Christian Abbiati,it ITA,GK,it Milan,22,1977,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Yassine Abdellaoui,nl NED,"FW,MF",nl Willem II,24,1975,2,2,137,1.5,1,0,1,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches
4,Tony Adams,eng ENG,DF,eng Arsenal,32,1966,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Daniele Adani,it ITA,DF,it Fiorentina,25,1974,8,5,514,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Eric Addo,gh GHA,"DF,MF",nl PSV,20,1978,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Otto Addo,gh GHA,MF,de Dortmund,24,1975,5,3,309,3.4,1,0,1,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches
8,Kodjo Afanou,fr FRA,DF,fr Bordeaux,21,1977,10,9,851,9.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,David Aganzo,es ESP,FW,es Real Madrid,18,1981,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Augustine Ahinful,gh GHA,FW,pt Boavista,24,1974,5,4,327,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Fatih Akyel,tr TUR,DF,tr Galatasaray,21,1977,5,4,273,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Saffet Akyüz,tr TUR,FW,tr Galatasaray,29,1970,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,David Albelda,es ESP,"DF,MF",es Valencia,21,1977,9,5,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Demetrio Albertini,it ITA,"FW,MF",it Milan,27,1971,5,5,434,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Carlos Alberto,br BRA,DF,pt Boavista,24,1974,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Jörg Albertz,de GER,MF,sct Rangers,28,1971,6,3,342,3.8,2,0,2,2,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches
17,Alexis Alexandris,gr GRE,FW,gr Olympiacos,30,1968,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Hervé Alicarte,fr FRA,DF,fr Bordeaux,24,1974,9,9,765,8.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
19,Romeu Almeida,pt POR,FW,pt Porto,24,1974,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Matías Almeyda,ar ARG,"DF,MF",it Lazio,25,1973,8,6,562,6.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Alex Alves,br BRA,FW,de Hertha BSC,24,1974,3,3,235,2.6,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,Matches
22,Georgios Amanatidis,gr GRE,DF,gr Olympiacos,29,1970,6,6,495,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Gabriel Amato,ar ARG,FW,sct Rangers,28,1970,2,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
