Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Carlos Aguilera,es ESP,DF,es Atlético Madrid,27,1969,8,5,481,5.3,0,,,0,0,,2,0,0.00,,,0.00,,Matches
2,Saffet Akbaş,tr TUR,DF,tr Fenerbahçe,27,1968,3,3,270,3.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
3,Tuncay Akgün,tr TUR,MF,tr Fenerbahçe,27,1968,6,5,372,4.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
4,Demetrio Albertini,it ITA,"FW,MF",it Milan,24,1971,5,5,450,5.0,1,,,0,1,,2,0,0.20,,,0.00,,Matches
5,Jörg Albertz,de GER,MF,sct Rangers,25,1971,5,5,450,5.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
6,Niclas Alexandersson,se SWE,MF,se Göteborg,24,1971,5,5,403,4.5,1,,,1,0,,0,1,0.22,,,0.22,,Matches
7,Pablo Alfaro,es ESP,DF,es Atlético Madrid,27,1969,4,2,205,2.3,0,,,0,0,,2,0,0.00,,,0.00,,Matches
8,Massimo Ambrosini,it ITA,MF,it Milan,19,1977,4,4,272,3.0,1,,,1,0,,0,0,0.33,,,0.33,,Matches
9,Nicola Amoruso,it ITA,FW,it Juventus,21,1974,7,2,314,3.5,4,,,3,1,,0,0,1.15,,,0.86,,Matches
10,Andreas Andersson,se SWE,FW,se Göteborg,22,1974,6,6,531,5.9,1,,,1,0,,0,0,0.17,,,0.17,,Matches
11,Éric Assati,re REU,DF,fr Auxerre,21,1974,3,3,250,2.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
12,Tijani Babangida,ng NGA,"FW,MF",nl Ajax,22,1973,10,10,871,9.7,3,,,3,0,,1,0,0.31,,,0.31,,Matches
13,Benhur Babaoğlu,tr TUR,FW,tr Fenerbahçe,26,1970,1,0,1,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
14,Marius Baciu,ro ROU,DF,ro Steaua,21,1975,4,4,298,3.3,1,,,1,0,,1,1,0.30,,,0.30,,Matches
15,Roberto Baggio,it ITA,"FW,MF",it Milan,29,1967,5,3,258,2.9,1,,,1,0,,0,0,0.35,,,0.35,,Matches
16,Marek Bajor,pl POL,DF,pl Widzew Łódź,26,1970,3,2,198,2.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches
17,Franco Baresi,it ITA,DF,it Milan,36,1960,2,2,180,2.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
18,Zoran Barisic,at AUT,MF,at Rapid Wien,26,1970,1,0,26,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
19,Rui Barros,pt POR,MF,pt Porto,30,1965,5,1,122,1.4,0,,,0,0,,2,0,0.00,,,0.00,,Matches
20,José Barroso,pt POR,MF,pt Porto,25,1970,7,6,488,5.4,0,,,0,0,,1,0,0.00,,,0.00,,Matches
21,David Beckham,eng ENG,MF,eng Manchester Utd,21,1975,10,10,891,9.9,2,,,2,0,,1,0,0.20,,,0.20,,Matches
22,Radek Bejbl,cz CZE,"DF,MF",es Atlético Madrid,23,1972,8,7,689,7.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches
23,André Bergdølmo,no NOR,DF,no Rosenborg,24,1971,2,2,177,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
24,Jan Berger,cz CZE,MF,ch Grasshopper,19,1976,2,0,48,0.5,1,,,1,0,,0,0,1.87,,,1.87,,Matches
25,Leonardo Biagini,ar ARG,FW,es Atlético Madrid,19,1977,2,0,28,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Bino,pt POR,MF,pt Porto,23,1972,1,1,67,0.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
27,Joachim Björklund,se SWE,DF,sct Rangers,25,1971,4,4,360,4.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
28,Danny Blind,nl NED,DF,nl Ajax,34,1961,5,5,406,4.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
29,Jesper Blomqvist,se SWE,"DF,MF",se Göteborg,22,1974,5,5,450,5.0,1,,,1,0,,1,0,0.20,,,0.20,,Matches
30,Erik Bo Andersen,dk DEN,FW,sct Rangers,25,1970,4,1,115,1.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
31,Zvonimir Boban,hr CRO,MF,it Milan,27,1968,5,5,429,4.8,1,,,1,0,,0,0,0.21,,,0.21,,Matches
32,Frank de Boer,nl NED,DF,nl Ajax,26,1970,9,9,820,9.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
33,Ronald de Boer,nl NED,"FW,MF",nl Ajax,26,1970,10,10,930,10.3,1,,,1,0,,1,0,0.10,,,0.10,,Matches
34,Winston Bogarde,nl NED,DF,nl Ajax,25,1970,6,5,513,5.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches
35,Daniel Bogusz,pl POL,DF,pl Widzew Łódź,21,1974,5,5,450,5.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
36,Alen Bokšić,hr CRO,FW,it Juventus,26,1970,8,7,647,7.2,4,,,4,0,,1,0,0.56,,,0.56,,Matches
37,Elvir Bolić,ba BIH,FW,tr Fenerbahçe,24,1971,6,6,531,5.9,2,,,2,0,,0,0,0.34,,,0.34,,Matches
38,Harald Brattbakk,no NOR,FW,no Rosenborg,25,1971,8,6,593,6.6,2,,,2,0,,1,0,0.30,,,0.30,,Matches
39,Bogdan Bucur,ro ROU,DF,ro Steaua,26,1970,4,4,297,3.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
40,Erol Bulut,tr TUR,"DF,MF",tr Fenerbahçe,21,1975,5,3,303,3.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
41,Vladimir But,ru RUS,MF,de Dortmund,18,1977,1,0,4,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
42,Nicky Butt,eng ENG,"DF,MF",eng Manchester Utd,21,1975,9,8,722,8.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
43,Augustin Călin,ro ROU,MF,ro Steaua,22,1973,6,6,379,4.2,1,,,1,0,,1,0,0.24,,,0.24,,Matches
44,Eric Cantona,fr FRA,FW,eng Manchester Utd,30,1966,10,10,900,10.0,3,,,3,0,,1,0,0.30,,,0.30,,Matches
45,Juan Carlos,es ESP,FW,es Atlético Madrid,23,1973,3,0,49,0.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
46,Chris Casper,eng ENG,DF,eng Manchester Utd,21,1975,1,0,2,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
47,Júlio César,br BRA,DF,de Dortmund,33,1963,4,4,337,3.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches
48,Stéphane Chapuisat,ch SUI,FW,de Dortmund,27,1969,10,8,761,8.5,3,,,3,0,,0,0,0.35,,,0.35,,Matches
49,Lionel Charbonnier,fr FRA,GK,fr Auxerre,29,1966,7,7,630,7.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
50,Cristian Ciocoiu,ro ROU,FW,ro Steaua,20,1975,5,0,213,2.4,0,,,0,0,,1,0,0.00,,,0.00,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Marek Citko,pl POL,"FW,MF",pl Widzew Łódź,22,1974,6,6,540,6.0,2,,,2,0,,1,0,0.33,,,0.33,,Matches
52,Alec Cleland,sct SCO,DF,sct Rangers,25,1970,4,4,329,3.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches
53,Francesco Coco,it ITA,DF,it Milan,19,1977,1,0,7,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
54,Andy Cole,eng ENG,FW,eng Manchester Utd,24,1971,5,2,223,2.5,1,,,1,0,,1,0,0.40,,,0.40,,Matches
55,Alexandre Comisetti,ch SUI,MF,ch Grasshopper,23,1973,5,2,223,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
