Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Éric Abidal,fr FRA,DF,es Barcelona,28,1979,3,3,246,2.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
2,David Abraham,ar ARG,DF,ch Basel,22,1986,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
3,Eric Addo,gh GHA,"DF,MF",nl PSV,29,1978,2,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Emmanuel Adebayor,tg TOG,FW,eng Arsenal,24,1984,7,7,612,6.8,5,2,7,4,1,1,2,0,0.74,0.29,01.03,0.59,0.88,Matches
5,Adriano,br BRA,FW,it Inter,26,1982,7,3,411,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches
6,Luiz Adriano,br BRA,"FW,MF",ua Shakhtar Donetsk,21,1987,5,3,219,2.4,0,1,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,Matches
7,Ibrahim Afellay,nl NED,"FW,MF",nl PSV,22,1986,4,4,266,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Daniel Agger,dk DEN,DF,eng Liverpool,23,1984,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Sergio Agüero,ar ARG,FW,es Atlético Madrid,20,1988,8,6,484,5.4,3,1,4,3,0,0,1,0,0.56,0.19,0.74,0.56,0.74,Matches
10,Hugo Alcântara,br BRA,DF,ro CFR Cluj,29,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Alex,br BRA,DF,eng Chelsea,26,1982,9,9,809,9.0,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
12,Oleksandr Aliyev,ua UKR,"FW,MF",ua Dynamo Kyiv,23,1985,5,5,447,5.0,1,0,1,1,0,0,2,1,0.20,0.00,0.20,0.20,0.20,Matches
13,Hugo Almeida,pt POR,FW,de Werder Bremen,24,1984,3,2,204,2.3,2,0,2,2,0,0,1,0,0.88,0.00,0.88,0.88,0.88,Matches
14,Sergio Almirón,ar ARG,MF,it Fiorentina,27,1980,4,2,204,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Manuel Almunia,es ESP,GK,eng Arsenal,31,1977,10,10,868,9.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Xabi Alonso,es ESP,MF,eng Liverpool,26,1981,8,8,676,7.5,1,1,2,0,1,1,0,0,0.13,0.13,0.27,0.00,0.13,Matches
17,Hamit Altıntop,tr TUR,"DF,MF",de Bayern Munich,25,1982,4,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Bruno Alves,pt POR,DF,pt Porto,26,1981,10,10,900,10.0,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
19,Dani Alves,br BRA,"DF,MF",es Barcelona,25,1983,10,10,900,10.0,0,3,3,0,0,0,3,0,0.00,0.30,0.30,0.00,0.30,Matches
20,Amauri,it ITA,FW,it Juventus,28,1980,8,4,334,3.7,1,1,2,1,0,0,2,0,0.27,0.27,0.54,0.27,0.54,Matches
21,Nordin Amrabat,ma MAR,"FW,MF",nl PSV,21,1987,3,3,252,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Anderson,br BRA,MF,eng Manchester Utd,20,1988,9,7,571,6.3,0,2,2,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches
23,Nicolas Anelka,fr FRA,FW,eng Chelsea,29,1979,12,8,800,8.9,2,2,4,2,0,0,2,0,0.23,0.23,0.45,0.23,0.45,Matches
24,José Antonio Reyes,es ESP,MF,es Atlético Madrid,24,1983,5,1,131,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Aleksandr Anyukov,ru RUS,DF,ru Zenit,25,1982,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Alberto Aquilani,it ITA,MF,it Roma,24,1984,4,3,243,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Álvaro Arbeloa,es ESP,DF,eng Liverpool,25,1983,10,10,874,9.7,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
28,John Arne Riise,no NOR,"DF,MF",it Roma,27,1980,8,6,530,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Helton Arruda,br BRA,GK,pt Porto,30,1978,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Andrey Arshavin,ru RUS,"FW,MF",ru Zenit,27,1981,6,6,465,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
31,Arthuro,br BRA,FW,ro Steaua,25,1982,3,2,170,1.9,1,0,1,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches
32,Malkhaz Asatiani,ge GEO,"DF,MF",ua Dynamo Kyiv,26,1981,5,1,143,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Paulo Assunção,br BRA,MF,es Atlético Madrid,28,1980,6,5,460,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Thomas Augustinussen,dk DEN,MF,dk Aalborg,27,1981,6,6,540,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
35,Fábio Aurélio,br BRA,"DF,MF",eng Liverpool,28,1979,7,7,571,6.3,1,2,3,1,0,0,1,0,0.16,0.32,0.47,0.16,0.47,Matches
36,Ryan Babel,nl NED,"FW,MF",eng Liverpool,21,1986,9,3,380,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.47,0.24,0.47,Matches
37,Eugen Baciu,ro ROU,DF,ro Steaua,28,1980,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Otman Bakkal,nl NED,"FW,MF",nl PSV,23,1985,6,4,416,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Michael Ballack,de GER,MF,eng Chelsea,31,1976,10,9,829,9.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Mario Balotelli,it ITA,FW,it Inter,17,1990,6,3,299,3.3,1,2,3,1,0,0,1,0,0.30,0.60,0.90,0.30,0.90,Matches
41,Éver Banega,ar ARG,MF,es Atlético Madrid,20,1988,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Ismaël Bangoura,gn GUI,FW,ua Dynamo Kyiv,23,1985,6,5,356,4.0,1,0,1,0,1,1,1,0,0.25,0.00,0.25,0.00,0.00,Matches
43,Júlio Baptista,br BRA,"FW,MF",it Roma,26,1981,7,3,510,5.7,2,0,2,2,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches
44,Cédric Bardon,fr FRA,"FW,MF",cy Anorthosis,31,1976,5,4,357,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
45,Frank Baumann,de GER,"DF,MF",de Werder Bremen,32,1975,4,4,329,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Michael Beauchamp,au AUS,DF,dk Aalborg,27,1981,2,2,118,1.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
47,Juliano Belletti,br BRA,"DF,MF",eng Chelsea,32,1976,8,0,213,2.4,0,2,2,0,0,0,1,0,0.00,0.85,0.85,0.00,0.85,Matches
48,David Bellion,fr FRA,FW,fr Bordeaux,25,1982,3,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Emre Belözoğlu,tr TUR,MF,tr Fenerbahçe,27,1980,3,3,221,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Hatem Ben Arfa,fr FRA,"FW,MF",fr Marseille,21,1987,6,6,435,4.8,0,2,2,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Yossi Benayoun,il ISR,MF,eng Liverpool,28,1980,7,3,361,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches
52,Nicklas Bendtner,dk DEN,FW,eng Arsenal,20,1988,10,3,421,4.7,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
53,Nelson Benítez,ar ARG,"DF,MF",pt Porto,24,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Karim Benzema,fr FRA,FW,fr Lyon,20,1987,8,8,702,7.8,5,2,7,5,0,0,1,0,0.64,0.26,0.90,0.64,0.90,Matches
55,Arjan Beqaj,al ALB,GK,cy Anorthosis,32,1975,5,5,405,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Dimitar Berbatov,bg BUL,FW,eng Manchester Utd,27,1981,9,5,513,5.7,4,0,4,4,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches
57,Betão,br BRA,DF,ua Dynamo Kyiv,24,1983,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Ali Bilgin,de GER,MF,tr Fenerbahçe,26,1981,3,0,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Gennadi Bliznyuk,by BLR,FW,by BATE Borisov,28,1980,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Mathieu Bodmer,fr FRA,"DF,MF",fr Lyon,25,1982,3,2,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Sebastian Boenisch,pl POL,DF,de Werder Bremen,21,1987,4,2,204,2.3,0,1,1,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches
62,Stanislav Bohush,ua UKR,GK,ua Dynamo Kyiv,24,1983,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Mark van Bommel,nl NED,MF,de Bayern Munich,31,1977,9,9,810,9.0,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
64,Laurent Bonnart,fr FRA,DF,fr Marseille,28,1979,6,6,539,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
65,Uğur Boral,tr TUR,"DF,MF",tr Fenerbahçe,26,1982,6,5,425,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Breno Borges,br BRA,DF,de Bayern Munich,18,1989,5,2,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Tim Borowski,de GER,MF,de Bayern Munich,28,1980,7,2,237,2.6,1,0,1,1,0,0,3,0,0.38,0.00,0.38,0.38,0.38,Matches
68,Artur Boruc,pl POL,GK,sct Celtic,28,1980,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,José Bosingwa,pt POR,DF,eng Chelsea,25,1982,10,10,873,9.7,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
