Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Flórián Albert Jr.,hu HUN,MF,hu Ferencváros,27,1967,4,3,245,2.7,2,,,2,0,,2,0,0.73,,,0.73,,Matches
2,Dmitri Alenichev,ru RUS,MF,ru Spartak Moscow,22,1972,6,5,469,5.2,2,,,2,0,,0,0,0.38,,,0.38,,Matches
3,Alexis Alexoudis,gr GRE,FW,gr Panathinaikos,23,1972,4,4,246,2.7,1,,,1,0,,0,1,0.37,,,0.37,,Matches
4,Rafael Alkorta,es ESP,DF,es Real Madrid,26,1968,5,4,370,4.1,0,,,0,0,,1,1,0.00,,,0.00,,Matches
5,José Amavisca,es ESP,"FW,MF",es Real Madrid,24,1971,6,6,429,4.8,0,,,0,0,,1,0,0.00,,,0.00,,Matches
6,Dmitri Ananko,ru RUS,DF,ru Spartak Moscow,21,1973,4,3,278,3.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
7,Stratos Apostolakis,gr GRE,"DF,FW",gr Panathinaikos,31,1964,9,9,810,9.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
8,Mark Atkins,eng ENG,"DF,MF",eng Blackburn Rovers,26,1968,1,1,73,0.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
9,Vítor Baía,pt POR,GK,pt Porto,25,1969,6,6,540,6.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
10,Rui Barros,pt POR,MF,pt Porto,29,1965,6,4,395,4.4,2,,,2,0,,1,0,0.46,,,0.46,,Matches
11,David Batty,eng ENG,MF,eng Blackburn Rovers,26,1968,5,5,450,5.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
12,Jacek Bednarz,pl POL,DF,pl Legia Warsaw,28,1967,7,6,562,6.2,0,,,0,0,,1,0,0.00,,,0.00,,Matches
13,Henning Berg,no NOR,DF,eng Blackburn Rovers,25,1969,6,6,540,6.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
