Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ignazio Abate,it ITA,"DF,MF",it Milan,22,1986,5,3,307,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Christian Abbiati,it ITA,GK,it Milan,32,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Almen Abdi,ch SUI,MF,ch Zürich,22,1986,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Éric Abidal,fr FRA,DF,es Barcelona,29,1979,8,7,620,6.9,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
5,Fabrice Abriel,fr FRA,MF,fr Marseille,30,1979,5,4,336,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches
6,Lautaro Acosta,ar ARG,"FW,MF",es Sevilla,21,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Adriano,br BRA,"DF,MF",es Sevilla,24,1984,4,3,178,2.0,1,1,2,1,0,0,0,0,0.51,0.51,01.01,0.51,01.01,Matches
8,Silvan Aegerter,ch SUI,MF,ch Zürich,29,1980,6,6,495,5.5,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
9,Daniel Agger,dk DEN,DF,eng Liverpool,24,1984,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Sergio Agüero,ar ARG,FW,es Atlético Madrid,21,1988,6,5,444,4.9,2,0,2,2,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches
11,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,23,1986,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,David Alaba,at AUT,"DF,MF",de Bayern Munich,17,1992,2,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Raúl Albiol,es ESP,DF,es Real Madrid,23,1985,8,8,720,8.0,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
14,Evgeni Aldonin,ru RUS,MF,ru CSKA Moscow,29,1980,7,7,594,6.6,1,2,3,1,0,0,3,0,0.15,0.30,0.45,0.15,0.45,Matches
15,Alex,br BRA,DF,eng Chelsea,27,1982,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Nektarios Alexandrou,cy CYP,"DF,FW",cy APOEL FC,25,1983,4,2,207,2.3,0,1,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches
17,Leandro Almeida Silva,br BRA,DF,ua Dynamo Kyiv,22,1987,5,5,450,5.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Manuel Almunia,es ESP,GK,eng Arsenal,32,1977,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Xabi Alonso,es ESP,MF,es Real Madrid,27,1981,7,7,587,6.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Alexandre Alphonse,gp GLP,"FW,MF",ch Zürich,27,1982,6,5,437,4.9,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
21,Hamit Altıntop,tr TUR,"DF,MF",de Bayern Munich,26,1982,6,4,348,3.9,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
22,Bruno Alves,pt POR,DF,pt Porto,27,1981,8,8,720,8.0,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
23,Dani Alves,br BRA,"DF,MF",es Barcelona,26,1983,11,11,989,11.0,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
24,Amauri,it ITA,FW,it Juventus,29,1980,6,3,301,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Massimo Ambrosini,it ITA,MF,it Milan,32,1977,8,8,653,7.3,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Anderson,br BRA,MF,eng Manchester Utd,21,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
