Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Christian Abbiati,it ITA,GK,it Milan,23,1977,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Éric Abidal,fr FRA,DF,fr Monaco,20,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Vitaliy Abramov,kz KAZ,MF,ua Shakhtar Donetsk,26,1974,5,5,279,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
4,Alberto Acosta,ar ARG,FW,pt Sporting CP,33,1966,6,4,409,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Tony Adams,eng ENG,DF,eng Arsenal,33,1966,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Pablo Aimar,ar ARG,MF,es Valencia,20,1979,8,6,498,5.5,0,1,1,0,0,0,0,1,0.00,0.18,0.18,0.00,0.18,Matches
7,Bülent Akın,tr TUR,MF,tr Galatasaray,21,1978,9,4,617,6.9,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
8,Ayhan Akman,tr TUR,MF,tr Beşiktaş,23,1977,3,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Fatih Akyel,tr TUR,DF,tr Galatasaray,22,1977,10,7,784,8.7,0,2,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches
10,Murat Alaçayır,tr TUR,MF,tr Beşiktaş,26,1973,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
