Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Giorgos Agorogiannis,gr GRE,DF,gr AEK Athens,28,1966,6,4,344,3.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2,Franz Aigner,at AUT,MF,at Austria Salzburg,26,1967,2,2,150,1.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
3,Osman Akyol,tr TUR,MF,tr Galatasaray,24,1969,2,0,24,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
4,Demetrio Albertini,it ITA,"FW,MF",it Milan,22,1971,9,9,810,9.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
5,Dmitri Alenichev,ru RUS,MF,ru Spartak Moscow,21,1972,5,4,352,3.9,1,,,1,0,,0,0,0.26,,,0.26,,Matches
6,Bernard Allou,fr FRA,"FW,MF",fr Paris Saint-Germain,19,1975,1,0,25,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
7,Guillermo Amor,es ESP,MF,es Barcelona,26,1967,6,4,415,4.6,1,,,1,0,,0,0,0.22,,,0.22,,Matches
8,Dmitri Ananko,ru RUS,DF,ru Spartak Moscow,20,1973,2,2,180,2.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
9,Thomas Andersson,se SWE,DF,se Göteborg,23,1970,4,1,105,1.2,0,,,0,0,,1,0,0.00,,,0.00,,Matches
10,William Amaral de Andrade,br BRA,DF,pt Benfica,26,1967,3,3,269,3.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
11,Stjepan Andrijašević,hr CRO,MF,hr Hajduk Split,27,1967,6,5,444,4.9,2,,,2,0,,1,0,0.41,,,0.41,,Matches
12,Miguel Ángel Nadal,es ESP,"DF,MF",es Barcelona,28,1966,5,5,450,5.0,0,,,0,0,,3,0,0.00,,,0.00,,Matches
13,Cihat Arslan,tr TUR,DF,tr Galatasaray,24,1970,1,0,35,0.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
14,Peter Artner,at AUT,"DF,MF",at Austria Salzburg,28,1966,6,6,510,5.7,0,,,0,0,,2,0,0.00,,,0.00,,Matches
15,Aljoša Asanović,hr CRO,MF,hr Hajduk Split,28,1965,8,8,720,8.0,1,,,1,0,,1,0,0.12,,,0.12,,Matches
16,Elias Atmatsidis,gr GRE,GK,gr AEK Athens,25,1969,6,6,540,6.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
17,Celestine Babayaro,ng NGA,"DF,MF",be Anderlecht,15,1978,1,1,37,0.4,0,,,0,0,,0,1,0.00,,,0.00,,Matches
18,Markus Babbel,de GER,DF,de Bayern Munich,21,1972,8,8,720,8.0,1,,,1,0,,0,0,0.12,,,0.12,,Matches
