Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ólafur Adolfsson,is ISL,DF,is ÍA,25,1967,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2,Željko Adžić,hr CRO,FW,hr Croatia Zagreb,27,1965,1,1,90,1.0,1,,,1,0,,1,0,1.00,,,1.00,,Matches
3,Ernst Aigner,at AUT,DF,at Austria Wien,26,1966,2,2,180,2.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
4,Philippe Albert,be BEL,DF,be Anderlecht,25,1967,5,5,450,5.0,1,,,1,0,,1,0,0.20,,,0.20,,Matches
5,Demetrio Albertini,it ITA,"FW,MF",it Milan,21,1971,11,8,740,8.2,1,,,1,0,,2,0,0.12,,,0.12,,Matches
6,Petar Aleksandrov,bg BUL,FW,ch Aarau,30,1962,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
7,Dmitri Alenichev,ru RUS,MF,ru Spartak Moscow,20,1972,1,0,12,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
8,Alexis Alexandris,gr GRE,FW,gr AEK Athens,24,1968,2,2,158,1.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
9,Yusuf Altıntaş,tr TUR,"DF,MF",tr Galatasaray,31,1961,2,0,63,0.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
10,Guillermo Amor,es ESP,MF,es Barcelona,25,1967,12,9,862,9.6,2,,,2,0,,1,0,0.21,,,0.21,,Matches
11,Dmitri Ananko,ru RUS,DF,ru Spartak Moscow,19,1973,4,3,251,2.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
12,Ion Andoni Goikoetxea,es ESP,"DF,FW",es Barcelona,27,1965,9,5,533,5.9,0,,,0,0,,1,0,0.00,,,0.00,,Matches
13,António André,pt POR,MF,pt Porto,35,1957,6,6,526,5.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
14,Tore André Dahlum,no NOR,FW,no Rosenborg,25,1968,2,2,180,2.0,1,,,1,0,,0,0,0.50,,,0.50,,Matches
15,Miguel Ángel Nadal,es ESP,"DF,MF",es Barcelona,27,1966,12,11,"1,019",11.3,0,,,0,0,,2,0,0.00,,,0.00,,Matches
16,Andriy Annenkov,ua UKR,"DF,MF",ua Dynamo Kyiv,24,1969,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
17,Jarosław Araszkiewicz,pl POL,"FW,MF",pl Lech Poznań,28,1965,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
18,Cihat Arslan,tr TUR,DF,tr Galatasaray,23,1970,1,1,90,1.0,1,,,1,0,,0,0,1.00,,,1.00,,Matches
19,Yaakov Asayag,il ISR,GK,il Beitar Jerusalem,34,1959,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
20,Andrey Astrowski,by BLR,DF,by Dinamo Minsk,19,1973,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
21,Elias Atmatsidis,gr GRE,GK,gr AEK Athens,24,1969,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
22,Tomer Azulai,il ISR,DF,il Beitar Jerusalem,18,1974,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
23,Benhur Babaoğlu,tr TUR,FW,tr Galatasaray,23,1970,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
24,Vladimirs Babičevs,lv LVA,MF,lv Skonto FC,25,1968,2,2,157,1.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
25,Vítor Baía,pt POR,GK,pt Porto,23,1969,11,11,990,11.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Noel Bailie,nir NIR,DF,nir Linfield FC,22,1971,2,2,210,2.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
27,Jacek Bąk,pl POL,DF,pl Lech Poznań,20,1973,4,4,360,4.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
28,Jarosław Bako,pl POL,GK,pl Lech Poznań,28,1964,3,3,226,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
29,Fernando Bandeirinha,pt POR,DF,pt Porto,30,1962,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
30,János Bánfi,hu HUN,DF,hu Honvéd,23,1969,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
31,Franco Baresi,it ITA,DF,it Milan,33,1960,9,9,780,8.7,0,,,0,0,,3,0,0.00,,,0.00,,Matches
32,Sergi Barjuán,es ESP,DF,es Barcelona,21,1971,8,8,685,7.6,0,,,0,0,,1,0,0.00,,,0.00,,Matches
33,Dave Barry,ie IRL,MF,ie Cork City,31,1961,2,2,165,1.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
34,Mario Basler,de GER,"FW,MF",de Werder Bremen,24,1968,9,9,767,8.5,2,,,2,0,,1,0,0.23,,,0.23,,Matches
35,Aleš Bažant,cs TCH,DF,cz Sparta Prague,29,1963,2,1,85,0.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches
36,Stephen Beatty,nir NIR,"DF,MF",nir Linfield FC,23,1969,2,2,210,2.3,1,,,1,0,,0,0,0.43,,,0.43,,Matches
37,Txiki Begiristain,es ESP,"FW,MF",es Barcelona,28,1964,10,8,490,5.4,2,,,2,0,,0,0,0.37,,,0.37,,Matches
38,Dietmar Beiersdorfer,de GER,DF,de Werder Bremen,29,1963,9,9,765,8.5,0,,,0,0,,3,0,0.00,,,0.00,,Matches
39,Przemysław Bereszyński,pl POL,DF,pl Lech Poznań,24,1969,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
40,Kent Bergersen,no NOR,MF,no Rosenborg,25,1967,2,2,180,2.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
41,Kim Bergstrand,se SWE,FW,se AIK Stockholm,25,1968,1,0,23,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
42,Vladimir Beschastnykh,ru RUS,"FW,MF",ru Spartak Moscow,19,1974,10,10,784,8.7,1,,,1,0,,0,0,0.11,,,0.11,,Matches
43,Anatoliy Bezsmertnyi,ua UKR,"DF,MF",ua Dynamo Kyiv,24,1969,2,2,180,2.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
44,Mihajlo Biberčić,yu YUG,FW,is ÍA,24,1968,2,2,179,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
45,Oļegs Blagonadeždins,lv LVA,DF,lv Skonto FC,20,1973,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
46,Regi Blinker,nl NED,"FW,MF",nl Feyenoord,24,1969,3,3,260,2.9,1,,,1,0,,0,0,0.35,,,0.35,,Matches
47,Patrick Blondeau,fr FRA,DF,fr Monaco,25,1968,6,5,416,4.6,0,,,0,0,,1,0,0.00,,,0.00,,Matches
