Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Domagoj Abramović,hr CRO,FW,hr Croatia Zagreb,17,1981,1,0,8,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2,Tony Adams,eng ENG,DF,eng Arsenal,31,1966,4,4,316,3.5,1,,,1,0,,0,0,0.28,,,0.28,,Matches
3,Burak Akdiş,tr TUR,"FW,MF",tr Galatasaray,21,1977,1,0,24,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
4,Fatih Akyel,tr TUR,DF,tr Galatasaray,20,1977,5,4,417,4.6,0,,,0,0,,0,0,0.00,,,0.00,,Matches
5,Alexis Alexandris,gr GRE,FW,gr Olympiacos,29,1968,7,4,328,3.6,2,,,2,0,,1,0,0.55,,,0.55,,Matches
6,Georgios Alexopoulos,gr GRE,DF,gr Panathinaikos,21,1977,2,1,91,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
7,Alexis Alexoudis,gr GRE,FW,gr Panathinaikos,26,1972,1,0,31,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
8,Bittor Alkiza,es ESP,MF,es Athletic Club,27,1970,4,4,360,4.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
9,Rafael Alkorta,es ESP,DF,es Athletic Club,29,1968,3,3,185,2.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
10,Georgios Amanatidis,gr GRE,DF,gr Olympiacos,28,1970,6,6,516,5.7,0,,,0,0,,2,0,0.00,,,0.00,,Matches
11,Nicola Amoruso,it ITA,FW,it Juventus,23,1974,5,1,192,2.1,2,,,2,0,,0,0,0.94,,,0.94,,Matches
12,Koffi Amponsah,gh GHA,DF,gr Olympiacos,20,1978,1,0,12,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
13,Dmitri Ananko,ru RUS,DF,ru Spartak Moscow,24,1973,6,6,540,6.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches
14,Georgios Anatolakis,gr GRE,DF,gr Olympiacos,24,1974,8,8,720,8.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches
15,Emeka Andersen,dk DEN,GK,dk Brøndby,27,1971,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
16,Sonny Anderson,br BRA,FW,es Barcelona,27,1970,6,6,520,5.8,4,,,4,0,,0,0,0.69,,,0.69,,Matches
17,Luís Andrade,pt POR,MF,pt Benfica,24,1973,3,3,226,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
18,Tore André Dahlum,no NOR,FW,no Rosenborg,30,1968,6,1,160,1.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
