Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrice Abanda,cm CMR,DF,cz Sparta Prague,22,1978,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Eric Addo,gh GHA,"DF,MF",nl PSV,22,1978,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Victor Agali,ng NGA,FW,de Schalke 04,22,1978,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Didier Agathe,fr FRA,"DF,FW",sct Celtic,25,1975,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Hassan Ahamada,fr FRA,"FW,MF",fr Nantes,20,1981,7,7,469,5.2,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
6,Ali Akdeniz,tr TUR,MF,tr Fenerbahçe,26,1975,4,4,346,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Bülent Akın,tr TUR,MF,tr Galatasaray,22,1978,8,7,585,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Serhat Akın,tr TUR,"FW,MF",tr Fenerbahçe,20,1981,4,1,165,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Ayhan Akman,tr TUR,MF,tr Galatasaray,24,1977,6,5,399,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Fatih Akyel,tr TUR,DF,es Mallorca,23,1977,4,3,265,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Aldair,br BRA,DF,it Roma,35,1965,6,4,450,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
12,Dmitri Alenichev,ru RUS,MF,pt Porto,28,1972,5,0,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Alexis Alexandris,gr GRE,FW,gr Olympiacos,32,1968,5,3,267,3.0,2,0,2,2,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
14,Gabriel Álvez,uy URU,FW,gr Olympiacos,26,1974,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Georgios Amanatidis,gr GRE,DF,gr Olympiacos,31,1970,4,2,162,1.8,0,1,1,0,0,0,1,0,0.00,0.56,0.56,0.00,0.56,Matches
16,José Amavisca,es ESP,"FW,MF",es Dep La Coruña,30,1971,8,4,518,5.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Márcio Amoroso,br BRA,FW,de Dortmund,27,1974,3,3,261,2.9,2,1,3,2,0,0,1,0,0.69,0.34,01.03,0.69,01.03,Matches
18,Nicola Amoruso,it ITA,FW,it Juventus,26,1974,6,2,184,2.0,1,1,2,0,1,1,1,0,0.49,0.49,0.98,0.00,0.49,Matches
19,Dmitri Ananko,ru RUS,DF,ru Spartak Moscow,27,1973,4,3,329,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Georgios Anatolakis,gr GRE,DF,gr Olympiacos,27,1974,6,6,512,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Sonny Anderson,br BRA,FW,fr Lyon,30,1970,1,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Kennet Andersson,se SWE,FW,tr Fenerbahçe,33,1967,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Patrik Andersson,se SWE,DF,es Barcelona,29,1971,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
24,Jorge Andrade,pt POR,DF,pt Porto,23,1978,12,12,"1,08",12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Pierre-Yves André,fr FRA,FW,fr Nantes,27,1974,10,8,651,7.2,2,1,3,2,0,0,1,0,0.28,0.14,0.41,0.28,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Miguel Ángel Nadal,es ESP,"DF,MF",es Mallorca,35,1966,6,6,475,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Francesco Antonioli,it ITA,GK,it Roma,31,1969,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Carlos Aranda,es ESP,FW,es Real Madrid,21,1980,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Pierre Aristouy,fr FRA,FW,fr Nantes,21,1979,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Sylvain Armand,fr FRA,DF,fr Nantes,20,1980,11,11,990,11.0,1,4,5,1,0,0,1,0,0.09,0.36,0.45,0.09,0.45,Matches
31,John Arne Riise,no NOR,"DF,MF",eng Liverpool,20,1980,14,14,"1,162",12.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
32,Gerald Asamoah,de GER,"FW,MF",de Schalke 04,22,1978,5,3,261,2.9,1,1,2,1,0,0,3,0,0.34,0.34,0.69,0.34,0.69,Matches
33,Emre Aşık,tr TUR,DF,tr Galatasaray,27,1973,11,11,990,11.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Marcos Assunção,br BRA,MF,it Roma,25,1976,9,3,351,3.9,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
35,Jean-Hugues Ateba,cm CMR,"DF,MF",fr Nantes,20,1981,4,3,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Fernando Ávalos,ar ARG,DF,pt Boavista,23,1978,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Serkan Aykut,tr TUR,"FW,MF",tr Galatasaray,26,1975,5,2,176,2.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Marko Babić,hr CRO,"DF,MF",de Leverkusen,20,1981,2,0,9,0.1,1,0,1,1,0,0,0,0,10.00,0.00,10.00,10.00,10.00,Matches
39,Peter Babnič,sk SVK,FW,cz Sparta Prague,24,1977,5,1,140,1.6,1,0,1,1,0,0,1,0,0.64,0.00,0.64,0.64,0.64,Matches
40,Dino Baggio,it ITA,MF,it Lazio,30,1971,2,2,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Vítor Baía,pt POR,GK,pt Porto,31,1969,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Serginho Baiano,br BRA,"FW,MF",pt Boavista,23,1978,5,2,181,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Dagui Bakari,ci CIV,FW,fr Lille,26,1974,4,4,271,3.0,1,2,3,1,0,0,1,0,0.33,0.66,1.00,0.33,1.00,Matches
44,Abel Balbo,ar ARG,FW,it Roma,35,1966,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Bobo Baldé,gn GUI,DF,sct Celtic,25,1975,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Elvir Baljić,ba BIH,"FW,MF",es Real Madrid,27,1974,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Michael Ballack,de GER,MF,de Leverkusen,24,1976,15,15,"1,346",15.0,6,3,9,6,0,0,3,0,0.40,0.20,0.60,0.40,0.60,Matches
48,Vasili Baranov,by BLR,MF,ru Spartak Moscow,28,1972,6,6,540,6.0,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
49,Sergi Barjuán,es ESP,DF,es Barcelona,29,1971,5,4,346,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Nick Barmby,eng ENG,"FW,MF",eng Liverpool,27,1974,3,2,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Milan Baroš,cz CZE,FW,eng Liverpool,19,1981,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Fabien Barthez,fr FRA,GK,eng Manchester Utd,30,1971,15,15,"1,35",15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Walter Baseggio,be BEL,MF,be Anderlecht,22,1978,4,4,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Angelos Basinas,gr GRE,MF,gr Panathinaikos,25,1976,12,12,"1,053",11.7,2,2,4,1,1,2,2,0,0.17,0.17,0.34,0.09,0.26,Matches
55,Christer Basma,no NOR,DF,no Rosenborg,28,1972,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Salaheddine Bassir,ma MAR,FW,fr Lille,28,1972,4,3,282,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
57,Yıldıray Baştürk,tr TUR,MF,de Leverkusen,22,1978,17,14,"1,239",13.8,1,4,5,1,0,0,4,0,0.07,0.29,0.36,0.07,0.36,Matches
