Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
22,Hugo Alcântara,br BRA,DF,ro CFR Cluj,31,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Thiago Alcántara,es ESP,MF,es Barcelona,19,1991,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
24,Toby Alderweireld,be BEL,DF,nl Ajax,21,1989,5,5,450,5.0,2,0,2,2,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
25,Alex,br BRA,MF,ru Spartak Moscow,28,1982,4,4,338,3.8,1,2,3,1,0,0,1,0,0.27,0.53,0.80,0.27,0.80,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Alex,br BRA,DF,eng Chelsea,28,1982,4,4,352,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Hugo Almeida,pt POR,FW,de Werder Bremen,26,1984,5,5,382,4.2,1,2,3,1,0,0,0,0,0.24,0.47,0.71,0.24,0.71,Matches
28,Federico Almerares,ar ARG,FW,ch Basel,25,1985,4,1,125,1.4,1,0,1,1,0,0,1,0,0.72,0.00,0.72,0.72,0.72,Matches
29,Manuel Almunia,es ESP,GK,eng Arsenal,33,1977,2,1,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Xabi Alonso,es ESP,MF,es Real Madrid,28,1981,11,11,966,10.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
31,Hamit Altıntop,tr TUR,"DF,MF",de Bayern Munich,27,1982,7,4,350,3.9,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
32,Dani Alves,br BRA,"DF,MF",es Barcelona,27,1983,12,12,"1,078",12.0,2,2,4,2,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches
33,Massimo Ambrosini,it ITA,MF,it Milan,33,1977,4,3,186,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Marco Amelia,it ITA,GK,it Milan,28,1982,3,2,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Rúben Amorim,pt POR,MF,pt Benfica,25,1985,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Ben Amos,eng ENG,GK,eng Manchester Utd,20,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Jano Ananidze,ge GEO,MF,ru Spartak Moscow,17,1992,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Anderson,br BRA,MF,eng Manchester Utd,22,1988,6,4,373,4.1,3,0,3,3,0,0,2,0,0.72,0.00,0.72,0.72,0.72,Matches
39,Nicolas Anelka,fr FRA,FW,eng Chelsea,31,1979,9,7,584,6.5,7,1,8,6,1,1,0,0,01.08,0.15,1.23,0.92,01.08,Matches
40,Miguel Ángel Moyá,es ESP,GK,es Valencia,26,1984,1,1,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Stanislav Angelovič,sk SVK,DF,sk MŠK Žilina,28,1982,6,4,380,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Vurnon Anita,cw CUW,"DF,MF",nl Ajax,21,1989,4,4,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Cristian Ansaldi,ar ARG,"DF,MF",ru Rubin Kazan,23,1986,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
