Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Christian Abbiati,it ITA,GK,it Milan,26,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Daniele Adani,it ITA,DF,it Inter,29,1974,3,3,270,3.0,2,0,2,2,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
3,Emmanuel Adebayor,tg TOG,FW,fr Monaco,19,1984,10,2,279,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Didier Agathe,fr FRA,"DF,FW",sct Celtic,27,1975,5,5,423,4.7,0,2,2,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches
5,Orhan Ak,tr TUR,DF,tr Galatasaray,23,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Ayhan Akman,tr TUR,MF,tr Galatasaray,26,1977,3,3,268,3.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
7,Demetrio Albertini,it ITA,"FW,MF",it Lazio,31,1971,6,6,477,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Alberto,es ESP,GK,es Real Sociedad,34,1969,2,2,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Dmitri Alenichev,ru RUS,MF,pt Porto,30,1972,9,7,579,6.4,3,0,3,3,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
10,Jérémie Aliadière,fr FRA,"FW,MF",eng Arsenal,20,1983,1,0,1,0.0,0,1,1,0,0,0,0,0,0.00,90.00,90.00,0.00,90.00,Matches
11,Bittor Alkiza,es ESP,MF,es Real Sociedad,32,1970,7,6,582,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Hugo Almeida,pt POR,FW,pt Porto,19,1984,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Matías Almeyda,ar ARG,"DF,MF",it Inter,29,1973,4,3,303,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Xabi Alonso,es ESP,MF,es Real Sociedad,21,1981,8,8,694,7.7,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
15,Ioannis Amanatidis,gr GRE,"FW,MF",de Stuttgart,21,1981,3,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,José Amavisca,es ESP,"FW,MF",es Dep La Coruña,32,1971,1,1,90,1.0,0,1,1,0,0,0,1,0,0.00,1.00,1.00,0.00,1.00,Matches
17,Massimo Ambrosini,it ITA,MF,it Milan,26,1977,6,2,228,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Marco Ambrosio,it ITA,GK,eng Chelsea,30,1973,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Koffi Amponsah,gh GHA,DF,gr AEK Athens,25,1978,3,3,245,2.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
20,Georgios Anatolakis,gr GRE,DF,gr Olympiacos,29,1974,5,5,428,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Jorge Andrade,pt POR,DF,es Dep La Coruña,25,1978,11,11,987,11.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
22,Paraskevas Antzas,gr GRE,DF,gr Olympiacos,26,1976,4,4,316,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Stephen Appiah,gh GHA,MF,it Juventus,22,1980,8,6,486,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Mikel Aranburu,es ESP,MF,es Real Sociedad,24,1979,7,3,291,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
25,Agustín Aranzábal,es ESP,DF,es Real Sociedad,30,1973,7,7,630,7.0,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Mikel Arteta,es ESP,MF,sct Rangers,21,1982,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Shota Arveladze,ge GEO,FW,sct Rangers,30,1973,5,5,445,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Mikheil Ashvetia,ge GEO,FW,ru Loko Moscow,25,1977,6,6,455,5.1,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
29,Emre Aşık,tr TUR,DF,tr Beşiktaş,29,1973,4,4,360,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Celestine Babayaro,ng NGA,"DF,MF",eng Chelsea,24,1978,2,2,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Vítor Baía,pt POR,GK,pt Porto,33,1969,13,13,"1,17",13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Branimir Bajić,ba BIH,DF,rs Partizan,23,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Bobo Baldé,gn GUI,DF,sct Celtic,27,1975,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Elvir Baljić,ba BIH,"FW,MF",tr Galatasaray,29,1974,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Michael Ball,eng ENG,DF,sct Rangers,23,1979,6,6,540,6.0,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
36,Michael Ballack,de GER,MF,de Bayern Munich,26,1976,8,8,720,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Miroslav Baranek,cz CZE,MF,cz Sparta Prague,29,1973,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,José Barkero,es ESP,MF,es Real Sociedad,24,1979,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Walter Baseggio,be BEL,MF,be Anderlecht,24,1978,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Angelos Basinas,gr GRE,MF,gr Panathinaikos,27,1976,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
41,David Beckham,eng ENG,MF,es Real Madrid,28,1975,7,7,630,7.0,1,2,3,1,0,0,3,0,0.14,0.29,0.43,0.14,0.43,Matches
42,David Bellion,fr FRA,FW,eng Manchester Utd,20,1982,4,0,101,1.1,0,1,1,0,0,0,0,0,0.00,0.89,0.89,0.00,0.89,Matches
43,Emre Belözoğlu,tr TUR,MF,it Inter,22,1980,4,3,273,3.0,0,2,2,0,0,0,1,0,0.00,0.66,0.66,0.00,0.66,Matches
44,Héctor Berenguel,es ESP,DF,es Dep La Coruña,28,1974,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
45,Henning Berg,no NOR,DF,sct Rangers,33,1969,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Dennis Bergkamp,nl NED,FW,eng Arsenal,34,1969,6,4,347,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Bryan Bergougnoux,fr FRA,"FW,MF",fr Lyon,20,1983,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Eduardo Berizzo,ar ARG,DF,es Celta Vigo,33,1969,5,5,450,5.0,0,1,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
49,Lucas Bernardi,ar ARG,MF,fr Monaco,25,1977,12,12,"1,08",12.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Jérémy Berthod,fr FRA,DF,fr Lyon,19,1984,6,4,365,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Habib Beye,sn SEN,DF,fr Marseille,25,1977,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Alessandro Birindelli,it ITA,DF,it Juventus,28,1974,5,3,221,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Jaromír Blažek,cz CZE,GK,cz Sparta Prague,30,1972,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Frank de Boer,nl NED,DF,tr Galatasaray,33,1970,6,6,530,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Mark van Bommel,nl NED,MF,nl PSV,26,1977,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Vassilios Borbokis,gr GRE,DF,gr AEK Athens,34,1969,4,3,282,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Marcelo Bordon,br BRA,DF,de Stuttgart,27,1976,5,5,450,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
58,Boris,es ESP,DF,es Real Sociedad,23,1980,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Marco Borriello,it ITA,FW,it Milan,21,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,José Bosingwa,pt POR,DF,pt Porto,20,1982,8,2,232,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Wilfred Bouma,nl NED,DF,nl PSV,25,1978,6,6,540,6.0,2,0,2,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
62,Serge Branco,cm CMR,"DF,MF",de Stuttgart,22,1980,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Raúl Bravo,es ESP,DF,es Real Madrid,22,1981,10,9,753,8.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Jérémie Bréchet,fr FRA,"DF,MF",it Inter,23,1979,2,2,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Wayne Bridge,eng ENG,DF,eng Chelsea,22,1980,12,10,973,10.8,2,0,2,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
66,Bojan Brnović,rs SRB,FW,rs Partizan,24,1979,3,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Cristian Brocchi,it ITA,MF,it Milan,27,1976,3,2,197,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Wes Brown,eng ENG,DF,eng Manchester Utd,23,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Juraj Buček,sk SVK,GK,gr Olympiacos,29,1973,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Gianluigi Buffon,it ITA,GK,it Juventus,25,1978,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Chris Burke,sct SCO,"FW,MF",sct Rangers,19,1983,3,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Tomislav Butina,hr CRO,GK,be Club Brugge,29,1974,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Nicky Butt,eng ENG,"DF,MF",eng Manchester Utd,28,1975,5,4,332,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
74,Maksim Buznikin,ru RUS,FW,ru Loko Moscow,26,1977,4,3,189,2.1,1,0,1,1,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches
75,Valyantsin Byalkevich,by BLR,MF,ua Dynamo Kyiv,30,1973,6,6,540,6.0,2,2,4,2,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Kasper Bøgelund,dk DEN,DF,nl PSV,22,1980,2,2,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Caçapa,br BRA,"DF,MF",fr Lyon,27,1976,3,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Cacau,de GER,FW,de Stuttgart,22,1981,4,2,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Fernando Cáceres,ar ARG,DF,es Celta Vigo,34,1969,5,5,445,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Cafú,br BRA,DF,it Milan,33,1970,9,9,808,9.0,0,2,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches
81,Damir Čakar,me MNE,MF,rs Partizan,30,1973,3,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Souleymane Camara,sn SEN,FW,fr Monaco,20,1982,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Esteban Cambiasso,ar ARG,MF,es Real Madrid,22,1980,5,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Mauro Camoranesi,it ITA,MF,it Juventus,26,1976,4,3,205,2.3,0,2,2,0,0,0,0,0,0.00,0.88,0.88,0.00,0.88,Matches
85,Sol Campbell,eng ENG,"DF,FW",eng Arsenal,28,1974,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Fabio Cannavaro,it ITA,DF,it Inter,29,1973,6,6,509,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Joan Capdevila,es ESP,DF,es Dep La Coruña,25,1978,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Capucho,pt POR,MF,sct Rangers,31,1972,5,3,327,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Antônio Carlos,br BRA,DF,tr Beşiktaş,34,1969,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Roberto Carlos,br BRA,DF,es Real Madrid,30,1973,8,8,634,7.0,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
91,Juan Carlos Valerón,es ESP,MF,es Dep La Coruña,28,1975,12,12,"1,001",11.1,2,0,2,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
92,Sébastien Carole,fr FRA,MF,fr Monaco,20,1982,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Éric Carrière,fr FRA,MF,fr Lyon,30,1973,6,1,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Roy Carroll,nir NIR,GK,eng Manchester Utd,25,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Ricardo Carvalho,pt POR,DF,pt Porto,25,1978,13,13,"1,17",13.0,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
96,Iker Casillas,es ESP,GK,es Real Madrid,22,1981,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Nery Castillo,mx MEX,"DF,FW",gr Olympiacos,19,1984,5,5,397,4.4,2,0,2,2,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches
98,Catanha,es ESP,FW,es Celta Vigo,31,1972,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Pablo Cavallero,ar ARG,GK,es Celta Vigo,29,1974,4,4,333,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Nastja Čeh,si SVN,MF,be Club Brugge,25,1978,6,5,430,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Fabio Celestini,ch SUI,MF,fr Marseille,27,1975,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Emanuel Centurión,ar ARG,MF,de Stuttgart,20,1982,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Florin Cernat,ro ROU,MF,ua Dynamo Kyiv,23,1980,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Kostas Chalkias,gr GRE,GK,gr Panathinaikos,29,1974,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Antonio Chimenti,it ITA,GK,it Juventus,33,1970,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Dionisis Chiotis,gr GRE,GK,gr AEK Athens,26,1977,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Lampros Choutos,gr GRE,"FW,MF",gr Olympiacos,23,1979,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Philippe Christanval,fr FRA,DF,fr Marseille,24,1978,3,3,196,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Lee Chun-soo,kr KOR,"FW,MF",es Real Sociedad,22,1981,6,1,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Milivoje Ćirković,rs SRB,DF,rs Partizan,26,1977,4,4,261,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Édouard Cissé,fr FRA,MF,fr Monaco,25,1978,13,9,841,9.3,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
112,Philippe Clement,be BEL,"DF,MF",be Club Brugge,29,1974,6,6,527,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Francesco Coco,it ITA,DF,it Inter,26,1977,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Ashley Cole,eng ENG,DF,eng Arsenal,22,1980,9,9,540,6.0,1,1,2,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,Matches
115,Joe Cole,eng ENG,MF,eng Chelsea,21,1981,7,2,207,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Jürgen Colin,nl NED,DF,nl PSV,22,1981,4,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Sérgio Conceição,pt POR,MF,it Lazio,28,1974,5,4,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Antonio Conte,it ITA,MF,it Juventus,34,1969,4,3,285,3.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Pablo Contreras,cl CHI,DF,es Celta Vigo,24,1978,5,3,192,2.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
120,Iván Córdoba,co COL,DF,it Inter,26,1976,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Óscar Córdoba,co COL,GK,tr Beşiktaş,33,1970,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Hans Cornelis,be BEL,DF,be Club Brugge,20,1982,2,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Bernardo Corradi,it ITA,FW,it Lazio,27,1976,6,6,533,5.9,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
124,Jorge Costa,pt POR,DF,pt Porto,31,1971,10,10,847,9.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Ricardo Costa,pt POR,DF,pt Porto,22,1981,2,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
