Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
36,Walid Badir,il ISR,"DF,MF",il Maccabi Haifa,28,1974,6,6,510,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
37,Davide Baiocco,it ITA,MF,it Juventus,27,1975,4,2,199,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Jacek Bąk,pl POL,DF,fr Lens,29,1973,6,6,515,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Dagui Bakari,ci CIV,FW,fr Lens,27,1974,5,1,127,1.4,1,0,1,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches
40,Hanno Balitsch,de GER,MF,de Leverkusen,21,1981,9,9,750,8.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Elvir Baljić,ba BIH,"FW,MF",tr Galatasaray,28,1974,4,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Michael Ballack,de GER,MF,de Bayern Munich,25,1976,5,5,412,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Salva Ballesta,es ESP,FW,es Valencia,27,1975,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Rubén Baraja,es ESP,MF,es Valencia,27,1975,12,12,"1,019",11.3,4,1,5,4,0,0,4,0,0.35,0.09,0.44,0.35,0.44,Matches
45,Vasili Baranov,by BLR,MF,ru Spartak Moscow,29,1972,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Sébastien Barberis,ch SUI,MF,ch Basel,30,1972,10,8,608,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
